final_dept_e,DPTSIZE_e,theme_en,theme_fr,question_name,question_value,total_respondants,total_w_resp,shr_w_resp
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15C_e,To a minimal extent,215,445.3261,0.1715854966
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15C_e,To a moderate extent,215,445.3261,0.3368522528
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15C_e,To a great extent,215,445.3261,0.3971725439
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15D_e,Not at all,218,450.435,0.0790433692
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15D_e,To a minimal extent,218,450.435,0.1731319724
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15D_e,To a moderate extent,218,450.435,0.3214663603
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15D_e,To a great extent,218,450.435,0.4263582981
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15E_e,Not at all,62,129.2469,0.0426424154
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15E_e,To a minimal extent,62,129.2469,0.1325602394
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15E_e,To a moderate extent,62,129.2469,0.4021334361
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_15E_e,To a great extent,62,129.2469,0.4226639092
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20A_e,Not at all,223,457.3012,0.008826349
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20A_e,To a minimal extent,223,457.3012,0.0296896225
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20A_e,To a moderate extent,223,457.3012,0.1535475962
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20A_e,To a great extent,223,457.3012,0.8079364323
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20B_e,Not at all,220,452.8091,0.0184521468
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20B_e,To a minimal extent,220,452.8091,0.0039590635
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20B_e,To a moderate extent,220,452.8091,0.0972953061
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20B_e,To a great extent,220,452.8091,0.8802934835
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20C_e,Not at all,206,426.0104,0.0094119768
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20C_e,To a minimal extent,206,426.0104,0.0194340326
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20C_e,To a moderate extent,206,426.0104,0.1394174884
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20C_e,To a great extent,206,426.0104,0.8317365022
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20D_e,Not at all,206,424.2736,0.0095134366
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20D_e,To a minimal extent,206,424.2736,0.0295601706
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20D_e,To a moderate extent,206,424.2736,0.279830515
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_20D_e,To a great extent,206,424.2736,0.6810958778
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_25_e,Yes,233,480.2694,0.0275859757
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Awareness and understanding of political activities and non-partisanship,Connaissance et compréhension des activités politiques et de l’impartialité politique,ALL_25_e,No,233,480.2694,0.9724140243
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_45_e,Less than 6 months,233,480.2694,0.0339705174
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_45_e,6 months to less than 1 year,233,480.2694,0.1278286728
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_45_e,1 year to less than 3 years,233,480.2694,0.2779412971
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_45_e,3 years to less than 5 years,233,480.2694,0.2871090684
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_45_e,5 or more years,233,480.2694,0.2731504443
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_50_e,Less than a year,233,480.2694,0.1027619082
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_50_e,1 year to less than 3 years,233,480.2694,0.2644830172
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_50_e,3 years to less than 5 years,233,480.2694,0.3187350683
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_50_e,5 years to less than 10 years,233,480.2694,0.1622335298
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_50_e,10 years or more,233,480.2694,0.1517864765
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_55_e,Less than a year,233,480.2694,0.027992206
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_55_e,1 year to less than 3 years,233,480.2694,0.1179163195
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_55_e,3 years to less than 10 years,233,480.2694,0.2767654987
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_55_e,10 years to less than 20 years,233,480.2694,0.3645795464
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_55_e,20 years to less than 30 years,233,480.2694,0.1599462718
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,ALL_55_e,30 years or more,233,480.2694,0.0528001576
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,MAN_05_e,Less than a year,63,131.2387,0.1147877874
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,MAN_05_e,1 to less than 5 years,63,131.2387,0.2780346041
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,MAN_05_e,5 to less than 10 years,63,131.2387,0.1880603816
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Employees' number of years of experience,Nombre d'années d'expérience des employés,MAN_05_e,10 years or more,63,131.2387,0.4191172269
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of the New Direction in Staffing,Perception de la Nouvelle orientation en dotation,MAN_10A_e,Yes,63,131.2387,0.3857650221
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of the New Direction in Staffing,Perception de la Nouvelle orientation en dotation,MAN_10A_e,No,63,131.2387,0.6142349779
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of the New Direction in Staffing,Perception de la Nouvelle orientation en dotation,MAN_10B_e,Yes,21,50.6273,0.9651176342
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of the New Direction in Staffing,Perception de la Nouvelle orientation en dotation,MAN_10B_e,No,21,50.6273,0.0348823658
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_15_e,Yes,63,131.2387,0.6212184363
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_15_e,No,63,131.2387,0.3787815637
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20A_e,0,23,49.9917,0.1923019221
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20A_e,1,23,49.9917,0.3315110308
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20A_e,2 to 4,23,49.9917,0.4151729187
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20A_e,5 or more,23,49.9917,0.0610141283
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20B_e,0,32,70.262,0.0251344966
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20B_e,1,32,70.262,0.3811206627
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20B_e,2 to 4,32,70.262,0.5937448407
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20C_e,0,15,35.4537,0.3643371496
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20C_e,1,15,35.4537,0.2054961823
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_20C_e,2 to 4,15,35.4537,0.4301666681
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_25A_e,Yes,37,81.5279,0.9268176906
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_25A_e,No,37,81.5279,0.0731823094
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_25B_e,Yes,37,81.5279,0.4453113597
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_25B_e,No,37,81.5279,0.5546886403
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_25C_e,Yes,37,81.5279,0.0374129592
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_25C_e,No,37,81.5279,0.9625870408
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Consideration of priority entitlements,Prise en considération des droits de priorité,MAN_35A_e,Yes,37,81.5279,0.0436500879
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Consideration of priority entitlements,Prise en considération des droits de priorité,MAN_35A_e,No,37,81.5279,0.9563499121
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40A_e,Yes,37,81.5279,0.7517500144
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40A_e,No,37,81.5279,0.2482499856
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BA_e,Yes,27,61.2886,0.231569982
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BA_e,No,27,61.2886,0.768430018
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BB_e,Yes,27,61.2886,0.6552246258
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BB_e,No,27,61.2886,0.3447753742
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BC_e,Yes,27,61.2886,0.4457533701
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BC_e,No,27,61.2886,0.5542466299
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BD_e,Yes,27,61.2886,0.1490375045
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BD_e,No,27,61.2886,0.8509624955
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BE_e,Yes,27,61.2886,0.367846549
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BE_e,No,27,61.2886,0.632153451
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BF_e,Yes,27,61.2886,0.4799897534
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BF_e,No,27,61.2886,0.5200102466
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BG_e,Yes,27,61.2886,0.0497678198
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_40BG_e,No,27,61.2886,0.9502321802
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45A_e,Yes,37,81.5279,0.5010260291
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45A_e,No,37,81.5279,0.4989739709
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BA_e,Yes,18,40.8476,0.2284124404
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BA_e,No,18,40.8476,0.7715875596
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BB_e,Yes,18,40.8476,0.4006086037
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BB_e,No,18,40.8476,0.5993913963
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BC_e,Yes,18,40.8476,0.6598453765
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BC_e,No,18,40.8476,0.3401546235
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BD_e,Yes,18,40.8476,0.1098522312
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BD_e,No,18,40.8476,0.8901477688
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BE_e,Yes,18,40.8476,0.0746726858
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BE_e,No,18,40.8476,0.9253273142
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BF_e,Yes,18,40.8476,0.0438875234
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BF_e,No,18,40.8476,0.9561124766
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BG_e,No,18,40.8476,1
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BH_e,No,18,40.8476,1
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BI_e,Yes,18,40.8476,0.11790656
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_45BI_e,No,18,40.8476,0.88209344
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_50A_e,Yes,30,67.7941,0.1729944051
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_50A_e,No,30,67.7941,0.8270055949
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_50B_e,Yes,35,77.3809,0.7773597878
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_50B_e,No,35,77.3809,0.2226402122
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_50C_e,Yes,33,73.5964,0.3793949161
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_50C_e,No,33,73.5964,0.6206050839
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_50D_e,Yes,32,71.8037,0.2736948096
Administrative Tribunals Support Service of Canada,"Medium (500 to 1,999)",Perception of staffing advice and support,Perception des conseils et du soutien en matière de dotation,MAN_50D_e,No,32,71.8037,0.7263051904
